Var1	Var2
D-GLUTAMINASE-RXN	
RXN-14532	dTDP-D-beta-fucofuranose biosynthesis
RXN-9858	chlorobenzene degradation
RXN-14531	
D-GLUTAMATE-OXIDASE-RXN	
RXN-14525	
RXN-9857	3,5-dichlorocatechol degradation
RXN-14524	
D-GLUTAMATE-CYCLASE-RXN	
RXN-14523	
RXN-9856	3,5-dichlorocatechol degradation
RXN-14522	
D-FUCONATE-HYDRATASE-RXN	
RXN-14521	
RXN-9855	3,5-dichlorocatechol degradation
RXN-14520	wybutosine biosynthesis
D-ASPARTATE-OXIDASE-RXN	
RXN-14519	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
RXN-9854	1,3-dichlorobenzene degradation
RXN-14518	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
D-ARGINASE-RXN	
RXN-14516	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	methylwyosine biosynthesis
RXN-9853	1,3-dichlorobenzene degradation
RXN-14515	mannitol cycle	D-sorbitol degradation I
D-ARABINOSE-1-DEHYDROGENASE-RXN	dehydro-D-arabinono-1,4-lactone biosynthesis
RXN-14514	
RXN-9852	bile acid biosynthesis, neutral pathway
RXN-14513	
D-ARABINONOLACTONASE-RXN	D-arabinose degradation III
RXN-14512	
RXN-9851	bile acid biosynthesis, neutral pathway
RXN-14511	
D-ARABINOKINASE-RXN	
RXN-14510	
RXN-9850	bile acid biosynthesis, neutral pathway
RXN-14509	
D-ARABINITOL-4-DEHYDROGENASE-RXN	D-arabitol degradation
RXN-14507	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)
RXN-9848	bile acid biosynthesis, neutral pathway
RXN-14506	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)
D-AMINO-ACID-OXIDASE-RXN	
RXN-14505	
RXN-9847	bile acid biosynthesis, neutral pathway
RXN-14504	
D-AMINO-ACID-N-ACETYLTRANSFERASE-RXN	
RXN-14503	
RXN-9846	bile acid biosynthesis, neutral pathway
RXN-14501	
D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	
RXN-14500	mannitol degradation II
RXN-9845	bile acid biosynthesis, neutral pathway
RXN-14497	
D-ALANINE-GAMMA-GLUTAMYLTRANSFERASE-RXN	
RXN-14496	ternatin C3 biosynthesis
RXN-9844	bile acid biosynthesis, neutral pathway
RXN-14495	hydroxylated fatty acid biosynthesis (plants)
D-ALANINE-AMINOTRANSFERASE-RXN	
RXN-14494	hydroxylated fatty acid biosynthesis (plants)
RXN-9843	bile acid biosynthesis, neutral pathway
RXN-14493	hydroxylated fatty acid biosynthesis (plants)
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	
RXN-14492	hydroxylated fatty acid biosynthesis (plants)
RXN-9842	bile acid biosynthesis, neutral pathway
RXN-14491	hydroxylated fatty acid biosynthesis (plants)
D--TARTRATE-DEHYDRATASE-RXN	
RXN-14488	hydroxylated fatty acid biosynthesis (plants)
RXN-9841	bile acid biosynthesis, neutral pathway
RXN-14487	
CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN	
RXN-14486	hydroxylated fatty acid biosynthesis (plants)
RXN-9840	bile acid biosynthesis, neutral pathway
RXN-14485	hydroxylated fatty acid biosynthesis (plants)
CYTIKIN-RXN	nucleoside and nucleotide degradation (archaea)	pyrimidine ribonucleosides salvage I
RXN-14484	hydroxylated fatty acid biosynthesis (plants)
RXN-9839	alginate biosynthesis II (bacterial)	alginate biosynthesis I (algal)
RXN-14481	
CYTIDYLATE-CYCLASE-RXN	
RXN-14480	
RXN-9838	
RXN-14479	
CYTIDINEKIN-RXN	
RXN-14478	
RXN-9837	
RXN-14477	
CYTIDEAM2-RXN	pyrimidine ribonucleosides salvage I	pyrimidine ribonucleosides degradation	pyrimidine ribonucleosides salvage II
RXN-14476	
RXN-9836	
RXN-14475	
CYTIDEAM-RXN	pyrimidine deoxyribonucleosides degradation	pyrimidine deoxyribonucleosides salvage
RXN-14473	
RXN-9834	4-ethylphenol degradation (anaerobic)
RXN-14472	trans-4-hydroxy-L-proline degradation I
CYTDEAM-RXN	pyrimidine ribonucleosides salvage III	pyrimidine nucleobases salvage II
RXN-14471	trans-4-hydroxy-L-proline degradation I
RXN-9833	4-ethylphenol degradation (anaerobic)
RXN-14469	
CYSTINE-REDUCTASE-NADH-RXN	
RXN-14468	
RXN-9832	bisphenol A degradation	4-ethylphenol degradation (anaerobic)
RXN-14467	L-homophenylalanine biosynthesis
CYSTHIOCYS-RXN	
RXN-14465	L-homophenylalanine biosynthesis
RXN-9831	4-ethylphenol degradation (anaerobic)
RXN-14464	L-homophenylalanine biosynthesis
CYSTEINE-LYASE-RXN	
RXN-14463	L-homophenylalanine biosynthesis
RXN-9830	
RXN-14462	L-homophenylalanine biosynthesis
CYSTEINE-DIOXYGENASE-RXN	taurine biosynthesis I	L-cysteine degradation I
RXN-14461	
RXN-9829	vitamin D3 biosynthesis
RXN-14460	D-cycloserine biosynthesis
CYSTEINE-CONJUGATE-TRANSAMINASE-RXN	
RXN-14459	D-cycloserine biosynthesis
RXN-9828	vitamin D3 biosynthesis
RXN-14458	D-cycloserine biosynthesis
CYSTEINE-AMINOTRANSFERASE-RXN	L-cysteine degradation III	hydrogen sulfide biosynthesis I
RXN-14457	D-cycloserine biosynthesis
RXN-9827	vitamin D3 biosynthesis
RXN-14454	
CYSTEAMINE-DIOXYGENASE-RXN	taurine biosynthesis II
RXN-14453	
RXN-9826	cardenolide glucosides biosynthesis
RXN-14450	lampranthin biosynthesis
CYSTAUR-RXN	taurine biosynthesis I
RXN-14449	lampranthin biosynthesis
RXN-9825	methyl indole-3-acetate interconversion
RXN-14448	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
CYSTATHIONINE-BETA-SYNTHASE-RXN	homocysteine and cysteine interconversion	L-cysteine biosynthesis VI (from L-methionine)	L-cysteine biosynthesis III (from L-homocysteine)
RXN-14447	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
RXN-9824	cardenolide glucosides biosynthesis
RXN-14446	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
CYSTATHIONINE-BETA-LYASE-RXN	homocysteine and cysteine interconversion
RXN-14445	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
RXN-9823	cardenolide glucosides biosynthesis
RXN-14444	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
CYSTATHIONASE-RXN	
RXN-14443	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
RXN-9822	cardenolide glucosides biosynthesis
RXN-14442	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
CYSPH-RXN	L-methionine biosynthesis II (plants)
RXN-14441	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
RXN-9821	cardenolide glucosides biosynthesis
RXN-14440	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
CYPRIDINA-LUCIFERIN-2-MONOOXYGENASE-RXN	
RXN-1444	indole glucosinolate activation (intact plant cell)	indole glucosinolate activation (herbivore attack)
RXN-9820	indigo biosynthesis
RXN-14439	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
CYDTER-RXN	4-toluenecarboxylate degradation
RXN-14438	
RXN-9819	indigo biosynthesis	indican biosynthesis
RXN-14437	
CYCPHOSDIESTER-RXN	
RXN-14436	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
RXN-9818	indigo biosynthesis	indican biosynthesis
RXN-14435	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
CYCLOPENTANONE-MONOOXYGENASE-RXN	
RXN-14434	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
RXN-9817	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
RXN-14432	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
CYCLOPENTANOL-DEHYDROGENASE-RXN	
RXN-14431	ergothioneine biosynthesis II (fungi)	ergothioneine biosynthesis I (bacteria)
RXN-9815	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
RXN-14430	ergothioneine biosynthesis I (bacteria)
CYCLOMALTODEXTRINASE-RXN	starch degradation III	starch degradation IV
RXN-1443	glucosinolate biosynthesis from tryptophan
RXN-9807	cutin biosynthesis
RXN-14429	ergothioneine biosynthesis I (bacteria)
CYCLOHEXYLAMINE-OXIDASE-RXN	
RXN-14428	
RXN-9806	cutin biosynthesis
RXN-14427	apigeninidin 5-O-glucoside biosynthesis
CYCLOHEXANONE-MONOOXYGENASE-RXN	cyclohexanol degradation
RXN-14426	apigeninidin 5-O-glucoside biosynthesis
RXN-9805	cutin biosynthesis
RXN-14425	apigeninidin 5-O-glucoside biosynthesis
CYCLOHEXANONE-DEHYDROGENASE-RXN	
RXN-14424	luteolinidin 5-O-glucoside biosynthesis
RXN-9804	cutin biosynthesis
RXN-14423	luteolinidin 5-O-glucoside biosynthesis
CYCLOHEXANOL-DEHYDROGENASE-RXN	cyclohexanol degradation
RXN-14422	luteolinidin 5-O-glucoside biosynthesis
RXN-9803	cutin biosynthesis
RXN-14421	fumitremorgin A biosynthesis
CYCLOHEXANE-13-DIONE-HYDROLASE-RXN	
RXN-14420	fumitremorgin A biosynthesis
RXN-9802	cutin biosynthesis
RXN-1442	glucosinolate biosynthesis from tryptophan
CYCLOHEXANE-12-DIOL-DEHYDROGENASE-RXN	
RXN-14419	stephacidin A biosynthesis
RXN-9800	bile acid biosynthesis, neutral pathway
RXN-14418	fumitremorgin C biosynthesis
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	L-tyrosine biosynthesis III
RXN-14416	fumitremorgin C biosynthesis
RXN-9799	bile acid biosynthesis, neutral pathway
RXN-14415	fumitremorgin C biosynthesis
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	plant sterol biosynthesis	7-dehydroporiferasterol biosynthesis
RXN-14414	fumitremorgin A biosynthesis
RXN-9798	bile acid biosynthesis, neutral pathway
RXN-14413	fumitremorgin C biosynthesis
CYCLOARTENOL-SYNTHASE-RXN	plant sterol biosynthesis	avenacin biosynthesis, initial reactions	7-dehydroporiferasterol biosynthesis	ergosterol biosynthesis II	mangrove triterpenoid biosynthesis	diploterol and cycloartenol biosynthesis
RXN-14412	4-nitrotoluene degradation II
RXN-9797	bile acid biosynthesis, neutral pathway
RXN-14409	
CYCLAMATE-SULFOHYDROLASE-RXN	
RXN-14408	
RXN-9796	bile acid biosynthesis, neutral pathway
RXN-14407	fumitremorgin A biosynthesis
CYANIDE-HYDRATASE-RXN	cyanide detoxification II
RXN-14406	archaetidylserine and archaetidylethanolamine biosynthesis
RXN-9794	bile acid biosynthesis, neutral pathway
RXN-14405	archaetidylserine and archaetidylethanolamine biosynthesis
CYANAMIDE-HYDRATASE-RXN	
RXN-14404	archaetidylinositol biosynthesis
RXN-9781	
RXN-14403	archaetidylinositol biosynthesis
CUCURBITACIN-DELTA-23-REDUCTASE-RXN	
RXN-14402	kanamycin biosynthesis
RXN-9780	1,4-dihydroxy-6-naphthoate biosynthesis I
RXN-14401	kanamycin biosynthesis
CTPSYN-RXN	UTP and CTP dephosphorylation I	UTP and CTP de novo biosynthesis	UTP and CTP dephosphorylation II
RXN-14400	CDP-archaeol biosynthesis
RXN-9779	3-phosphoinositide degradation	D-myo-inositol-5-phosphate metabolism
RXN-14399	CDP-archaeol biosynthesis
CROTCOALIG-RXN	
RXN-14398	archaetidylserine and archaetidylethanolamine biosynthesis
RXN-9778	
RXN-14397	
CROBETREDUCT-RXN	L-carnitine degradation I
RXN-14396	
RXN-9775	malonate degradation II (biotin-dependent)
RXN-14394	
CREATININE-DEAMINASE-RXN	creatinine degradation II
RXN-14393	
RXN-9774	
RXN-14392	
CREATININASE-RXN	creatinine degradation I
RXN-14385	[2Fe-2S] iron-sulfur cluster biosynthesis
RXN-9773	
RXN-14382	thiazole biosynthesis I (facultative anaerobic bacteria)
CREATINE-KINASE-RXN	creatine-phosphate biosynthesis
RXN-14380	starch biosynthesis
RXN-9772	
RXN-14379	
CREATINASE-RXN	creatinine degradation I
RXN-14378	starch biosynthesis
RXN-9771	
RXN-14377	nylon-6 oligomer degradation
CPM-KDOSYNTH-RXN	CMP-3-deoxy-D-manno-octulosonate biosynthesis
RXN-14376	nylon-6 oligomer degradation
RXN-9770	methanesulfonate degradation
RXN-14375	
COUMARATE-REDUCTASE-RXN	
RXN-14374	starch biosynthesis
RXN-9767	dimethyl sulfide degradation II (oxidation)
RXN-14373	starch biosynthesis
CORTISONE-BETA-REDUCTASE-RXN	
RXN-14372	starch biosynthesis
RXN-9766	dimethyl sulfide degradation II (oxidation)
RXN-14371	starch biosynthesis
CORTISONE-ALPHA-REDUCTASE-RXN	
RXN-14370	
RXN-9763	dimethyl sulfide degradation III (oxidation)
RXN-14368	
CORTISOL-SULFOTRANSFERASE-RXN	
RXN-14367	
RXN-9762	dimethyl sulfone degradation
RXN-14365	
CORTISOL-O-ACETYLTRANSFERASE-RXN	
RXN-14364	
RXN-9761	dimethylsulfoniopropanoate degradation II (cleavage)
RXN-14363	
CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN	
RXN-14362	pectin degradation II	myo-inositol degradation II
RXN-9760	dimethylsulfoniopropanoate degradation II (cleavage)
RXN-14361	
CONIFERIN-BETA-GLUCOSIDASE-RXN	coniferin metabolism
RXN-14360	myo-inositol degradation II
RXN-9759	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
RXN-14359	myo-inositol degradation II
COLUMBAMINE-OXIDASE-RXN	
RXN-14358	myo-inositol degradation II
RXN-9758	dimethylsulfoniopropanoate biosynthesis II (Spartina)	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
RXN-14355	
COLCYD-RXN	4-toluenecarboxylate degradation
RXN-14354	sucrose biosynthesis II
RXN-9757	dimethylsulfoniopropanoate biosynthesis II (Spartina)
RXN-14353	sucrose biosynthesis II
COENZYME-F420-HYDROGENASE-RXN	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
RXN-14348	
RXN-9756	dimethylsulfoniopropanoate biosynthesis II (Spartina)
RXN-14347	
COBINPGUANYLYLTRANS-RXN	adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide	superpathway of adenosylcobalamin salvage from cobinamide II	adenosylcobinamideGDP salvage from cobinamide II	superpathway of adenosylcobalamin salvage from cobinamide I	adenosylcobinamide-GDP salvage from cobinamide I
RXN-14346	gentamicin biosynthesis
RXN-9755	dimethylsulfoniopropanoate biosynthesis III (algae)
RXN-14345	gentamicin biosynthesis
COBINAMIDEKIN-RXN	superpathway of adenosylcobalamin salvage from cobinamide I	adenosylcobinamide-GDP salvage from cobinamide I
RXN-14344	
RXN-9754	dimethylsulfoniopropanoate biosynthesis III (algae)
RXN-14343	
COBIIALAMIN-REDUCTASE-RXN	
RXN-14342	
RXN-9753	dimethylsulfoniopropanoate biosynthesis III (algae)
RXN-14341	
COBALAMINSYN-RXN	
RXN-14340	
RXN-9752	2,4,6-trinitrotoluene degradation
RXN-14338	
COBALAMIN5PSYN-RXN	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	superpathway of adenosylcobalamin salvage from cobinamide II	superpathway of adenosylcobalamin salvage from cobinamide I	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
RXN-14337	
RXN-9751	2,4,6-trinitrotoluene degradation
RXN-14334	
COBALADENOSYLTRANS-RXN	adenosylcobalamin salvage from cobalamin	cobalamin salvage (eukaryotic)
RXN-14333	
RXN-9750	2,4,6-trinitrotoluene degradation
RXN-14332	
COA-GLUTATHIONE-REDUCTASE-NADPH-RXN	
RXN-14327	gibberellin biosynthesis V
RXN-9749	2,4,6-trinitrotoluene degradation
RXN-14326	diphthamide biosynthesis I (archaea)
COA-DISULFIDE-REDUCTASE-NADH-RXN	
RXN-14325	
RXN-9748	2,4,6-trinitrotoluene degradation
RXN-14322	ubiquinol-6 bypass biosynthesis (eukaryotic)
CITSYN-RXN	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	methylaspartate cycle	TCA cycle II (plants and fungi)	TCA cycle I (prokaryotic)	TCA cycle III (animals)	partial TCA cycle (obligate autotrophs)	TCA cycle VII (acetate-producers)	TCA cycle IV (2-oxoglutarate decarboxylase)	ethylene biosynthesis V (engineered)	glyoxylate cycle	L-glutamine biosynthesis III	mixed acid fermentation	TCA cycle VIII (helicobacter)
RXN-14320	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-9747	2,4,6-trinitrotoluene degradation
RXN-14319	ubiquinol-6 bypass biosynthesis (eukaryotic)
CITRULLINASE-RXN	L-proline biosynthesis II (from arginine)
RXN-14318	gibberellin biosynthesis V
RXN-9746	2,4,6-trinitrotoluene degradation
RXN-14317	gibberellin biosynthesis V
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	citrate lyase activation
RXN-14315	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)
RXN-9745	2,4,6-trinitrotoluene degradation
RXN-14314	
CITRATE--COA-LIGASE-RXN	reductive TCA cycle II
RXN-14313	mycocyclosin biosynthesis
RXN-9744	2,4,6-trinitrotoluene degradation
RXN-14311	pulcherrimin biosynthesis
CITRAMALYL-COA-LYASE-RXN	glyoxylate assimilation	itaconate degradation
RXN-14309	
RXN-9743	2,4,6-trinitrotoluene degradation
RXN-14308	
CITRAMALATE-LYASE-RXN	L-glutamate degradation VI (to pyruvate)
RXN-14306	
RXN-9742	2,4,6-trinitrotoluene degradation
RXN-14304	
CITRAMALATE-COA-TRANSFERASE-RXN	
RXN-14301	L-methionine degradation II
RXN-9741	2,4,6-trinitrotoluene degradation
RXN-14300	
CISTRANON-RXN	
RXN-14298	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-9740	dimethyl sulfide degradation I
RXN-14297	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
CIS-2-ENOYL-COA-REDUCTASE-NADPH-RXN	
RXN-14296	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-974	
RXN-14295	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	
RXN-14294	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-9739	dimethyl sulfoxide degradation
RXN-14293	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
CINNAMOYL-COA-REDUCTASE-RXN	
RXN-14292	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
RXN-9738	methylthiopropanonate degradation II (demethylation)
RXN-14291	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
CINNAMATE-GLUCOSYLTRANSFERASE-RXN	cinnamate esters biosynthesis
RXN-14290	
RXN-9736	dimethylsulfoniopropanoate degradation III (demethylation)
RXN-14289	
CHORPYRLY-RXN	polybrominated dihydroxylated diphenyl ethers biosynthesis	spongiadioxin C biosynthesis	polybrominated phenols biosynthesis	phenolphthiocerol biosynthesis	p-HBAD biosynthesis	tetrahydromethanopterin biosynthesis	ubiquinol-8 biosynthesis (eukaryotic)	4-hydroxybenzoate biosynthesis II (bacteria)
RXN-14288	
RXN-9734	ethanedisulfonate degradation
RXN-14287	
CHORISMATEMUT-RXN	L-tyrosine biosynthesis I	bacilysin biosynthesis	L-tyrosine biosynthesis II	L-phenylalanine biosynthesis I	salinosporamide A biosynthesis	L-tyrosine biosynthesis III	L-phenylalanine biosynthesis II
RXN-14286	
RXN-9733	4-sulfocatechol degradation
RXN-14285	
CHORISMATE-SYNTHASE-RXN	chorismate biosynthesis from 3-dehydroquinate
RXN-14284	
RXN-9732	4-sulfocatechol degradation
RXN-14283	
CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN	dermatan sulfate biosynthesis (late stages)
RXN-14282	
RXN-9731	4-sulfocatechol degradation
RXN-14281	
CHONDROITIN-6-SULFOTRANSFERASE-RXN	chondroitin sulfate biosynthesis (late stages)
RXN-14280	
RXN-9726	cardenolide biosynthesis
RXN-14278	
CHONDROITIN-4-SULFOTRANSFERASE-RXN	chondroitin sulfate biosynthesis (late stages)
RXN-14277	
RXN-9725	2,3-cis-flavanols biosynthesis
RXN-14276	6-gingerol analog biosynthesis (engineered)
CHONDRO-6-SULFATASE-RXN	chondroitin sulfate degradation I (bacterial)
RXN-14275	6-gingerol analog biosynthesis (engineered)
RXN-9724	2,3-cis-flavanols biosynthesis
RXN-14274	
CHONDRO-4-SULFATASE-RXN	chondroitin sulfate degradation I (bacterial)	dermatan sulfate degradation I (bacterial)
RXN-14273	(8E,10E)-dodeca-8,10-dienol biosynthesis
RXN-9723	2,3-cis-flavanols biosynthesis
RXN-14272	Spodoptera littoralis pheromone biosynthesis	(8E,10E)-dodeca-8,10-dienol biosynthesis
CHOLOYLGLYCINE-HYDROLASE-RXN	bile acids degradation	glycocholate metabolism (bacteria)
RXN-14271	Spodoptera littoralis pheromone biosynthesis	(8E,10E)-dodeca-8,10-dienol biosynthesis
RXN-9722	
RXN-14270	
CHOLINESTERASE-RXN	
RXN-14268	(8E,10E)-dodeca-8,10-dienol biosynthesis
RXN-9721	galactolipid biosynthesis I
RXN-14267	
CHOLINE-SULFOTRANSFERASE-RXN	
RXN-14266	
RXN-9720	2,3-trans-flavanols biosynthesis
RXN-14265	
CHOLINE-SULFATASE-RXN	choline-O-sulfate degradation
RXN-14263	
RXN-9719	capsiconiate biosynthesis
RXN-14262	
CHOLINE-OXIDASEII-RXN	choline degradation II
RXN-14261	
RXN-9718	acetoin degradation
RXN-14260	
CHOLINE-OXIDASE-RXN	choline degradation II
RXN-14259	
RXN-9717	isovitexin glycosides biosynthesis
RXN-14258	
CHOLINE-O-ACETYLTRANSFERASE-RXN	
RXN-14257	
RXN-9716	isovitexin glycosides biosynthesis
RXN-14256	
CHOLINE-KINASE-RXN	cell-surface glycoconjugate-linked phosphocholine biosynthesis	type IV lipoteichoic acid biosynthesis (S. pneumoniae)	plasmalogen biosynthesis	phosphatidylcholine biosynthesis I
RXN-14255	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
RXN-9715	isovitexin glycosides biosynthesis
RXN-14254	5-nitroanthranilate degradation
CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN	bile acid biosynthesis, neutral pathway
RXN-14253	5-nitroanthranilate degradation
RXN-9714	isovitexin glycosides biosynthesis
RXN-14252	
CHOLESTENONE-5-BETA-REDUCTASE-RXN	
RXN-14251	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
RXN-9710	nitrilotriacetate degradation
RXN-14250	sphingolipid biosynthesis (plants)
CHOLESTENONE-5-ALPHA-REDUCTASE-RXN	
RXN-14249	
RXN-9705	vitexin and derivatives biosynthesis
RXN-14248	
CHOLESTANETRIOL-26-MONOOXYGENASE-RXN	bile acid biosynthesis, neutral pathway
RXN-14247	
RXN-9704	vitexin and derivatives biosynthesis
RXN-14245	
CHOLESTANETETRAOL-26-DEHYDROGENASE-RXN	bile acid biosynthesis, neutral pathway
RXN-14244	
RXN-9703	poly-hydroxy fatty acids biosynthesis	vernolate biosynthesis I
RXN-14243	
CHOLATE--COA-LIGASE-RXN	bile acids degradation
RXN-14242	
RXN-9702	
RXN-14240	baicalein degradation (hydrogen peroxide detoxification)
CHMS-DEHYDROGENASE-RXN	4-hydroxyphenylacetate degradation
RXN-14239	wogonin metabolism
RXN-9700	apigenin glycosides biosynthesis
RXN-14238	baicalein metabolism
CHLOROPHYLLASE-RXN	
RXN-14237	baicalein metabolism
RXN-9699	apigenin glycosides biosynthesis
RXN-14236	
CHLOROMALERED-RXN	pentachlorophenol degradation	3,5-dichlorocatechol degradation	2,4,6-trichlorophenol degradation	1,4-dichlorobenzene degradation
RXN-14234	
RXN-9697	coumarins biosynthesis (engineered)	naringenin biosynthesis (engineered)
RXN-14233	
CHLOROGENATE-HYDROLASE-RXN	chlorogenic acid degradation
RXN-14229	
RXN-9692	
RXN-14228	
CHLOROCATDIOXY-RXN	1,4-dichlorobenzene degradation
RXN-14227	
RXN-9691	
RXN-14226	
CHLOROBENDDH-RXN	1,4-dichlorobenzene degradation
RXN-14225	
RXN-9690	
RXN-14224	
CHLORIDE-PEROXIDASE-RXN	
RXN-14223	
RXN-969	photorespiration
RXN-14220	
CHLORIDAZON-CATECHOL-DIOXYGENASE-RXN	
RXN-14219	
RXN-9689	
RXN-14218	
CHLORDECONE-REDUCTASE-RXN	
RXN-14217	
RXN-9685	baruol biosynthesis
RXN-14216	
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	
RXN-14215	
RXN-9684	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II
RXN-14214	
CHITIN-SYNTHASE-RXN	chitin biosynthesis
RXN-14213	
RXN-9680	glycine betaine biosynthesis IV (from glycine)	glycine betaine biosynthesis V (from glycine)
RXN-14210	
CHITIN-DEACETYLASE-RXN	chitin degradation to ethanol
RXN-14209	
RXN-9679	glycine betaine biosynthesis IV (from glycine)	glycine betaine biosynthesis V (from glycine)
RXN-14208	
CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN	bile acids degradation
RXN-14207	
RXN-9674	neolinustatin bioactivation	lotaustralin degradation
RXN-14206	
CHD-RXN	choline degradation I	glycine betaine biosynthesis I (Gram-negative bacteria)
RXN-14205	
RXN-9673	gamma-linolenate biosynthesis II (animals)
RXN-14204	
CHALCONE-ISOMERASE-RXN	
RXN-14203	
RXN-9670	hydroxylated fatty acid biosynthesis (plants)	linoleate biosynthesis I (plants)	dimorphecolate biosynthesis
RXN-14202	
CETRAXATE-BENZYLESTERASE-RXN	
RXN-14201	
RXN-9669	linoleate biosynthesis I (plants)
RXN-14200	
CEREBROSIDE-SULFATASE-RXN	
RXN-14199	
RXN-9667	alpha-linolenate biosynthesis I (plants and red algae)
RXN-14198	
CERAMIDE-KINASE-RXN	
RXN-14197	
RXN-9666	cutin biosynthesis	suberin monomers biosynthesis	sporopollenin precursors biosynthesis	oleate biosynthesis II (animals and fungi)
RXN-14196	allantoin degradation IV (anaerobic)	L-citrulline degradation	guadinomine B biosynthesis
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	neolacto-series glycosphingolipids biosynthesis	lacto-series glycosphingolipids biosynthesis	globo-series glycosphingolipids biosynthesis	ganglio-series glycosphingolipids biosynthesis
RXN-14195	
RXN-9664	marneral biosynthesis
RXN-14194	sphingosine and sphingosine-1-phosphate metabolism
CERAMIDE-CHOLINEPHOSPHOTRANSFERASE-RXN	
RXN-14192	
RXN-9647	
RXN-14189	
CERAMIDASE-YEAST-RXN	fatty acid alpha-oxidation III	sphingolipid recycling and degradation (yeast)
RXN-14188	pyrimidine deoxyribonucleotides dephosphorylation
RXN-9646	
RXN-14187	pyrimidine deoxyribonucleotides biosynthesis from CTP
CERAMIDASE-RXN	sphingosine and sphingosine-1-phosphate metabolism
RXN-14186	
RXN-9644	oleate biosynthesis I (plants)	linoleate biosynthesis II (animals)
RXN-14185	pheomelanin biosynthesis
CEPHALOSPORIN-C-TRANSAMINASE-RXN	
RXN-14184	
RXN-9643	lotaustralin biosynthesis
RXN-14183	
CEPHALOSPORIN-C-DEACETYLASE-RXN	
RXN-14182	esculetin modification
RXN-9642	lotaustralin biosynthesis
RXN-14181	pyridoxal 5'-phosphate salvage II (plants)
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	cellulose biosynthesis
RXN-14179	
RXN-9641	lotaustralin biosynthesis
RXN-14178	myo-, chiro- and scyllo-inositol degradation
