# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_002254095.1	PRJNA224116	SAMN06848384	NGPU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105w		latest	Scaffold	Major	Full	2017/08/15	ASM225409v1	University of Alberta	GCA_002254095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/095/GCF_002254095.1_ASM225409v1		
GCF_002254105.1	PRJNA224116	SAMN06848381	NGPX00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105n		latest	Scaffold	Major	Full	2017/08/15	ASM225410v1	University of Alberta	GCA_002254105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/105/GCF_002254105.1_ASM225410v1		
GCF_002254115.1	PRJNA224116	SAMN06848379	NGPZ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105i		latest	Scaffold	Major	Full	2017/08/15	ASM225411v1	University of Alberta	GCA_002254115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/115/GCF_002254115.1_ASM225411v1		
GCF_002254165.1	PRJNA224116	SAMN06848377	NGQB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105c		latest	Scaffold	Major	Full	2017/08/15	ASM225416v1	University of Alberta	GCA_002254165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/165/GCF_002254165.1_ASM225416v1		
GCF_002254175.1	PRJNA224116	SAMN06848378	NGQA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105d		latest	Scaffold	Major	Full	2017/08/15	ASM225417v1	University of Alberta	GCA_002254175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/175/GCF_002254175.1_ASM225417v1		
GCF_002254185.1	PRJNA224116	SAMN06848376	NGQC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=103v		latest	Scaffold	Major	Full	2017/08/15	ASM225418v1	University of Alberta	GCA_002254185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/185/GCF_002254185.1_ASM225418v1		
GCF_002254195.1	PRJNA224116	SAMN06848375	NGQD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=103p		latest	Scaffold	Major	Full	2017/08/15	ASM225419v1	University of Alberta	GCA_002254195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/195/GCF_002254195.1_ASM225419v1		
GCF_002254245.1	PRJNA224116	SAMN06848374	NGQE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=103o		latest	Scaffold	Major	Full	2017/08/15	ASM225424v1	University of Alberta	GCA_002254245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/245/GCF_002254245.1_ASM225424v1		
GCF_002254255.1	PRJNA224116	SAMN06848373	NGQF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=103b		latest	Scaffold	Major	Full	2017/08/15	ASM225425v1	University of Alberta	GCA_002254255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/255/GCF_002254255.1_ASM225425v1		
GCF_002762415.1	PRJNA224116	SAMN07981098	PESO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=RC-14		latest	Contig	Major	Full	2017/11/11	ASM276241v1	Agharkar Research Institute	GCA_002762415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/415/GCF_002762415.1_ASM276241v1		
GCF_002888655.1	PRJNA224116	SAMEA3220431	CZDD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=20-2		latest	Scaffold	Major	Full	2015/12/18	ASM288865v1	IFR	GCA_002888655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/888/655/GCF_002888655.1_ASM288865v1		
GCF_003046055.1	PRJNA224116	SAMN08801721	PZQN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR5A		latest	Scaffold	Major	Full	2018/04/09	ASM304605v1	NCAUR-USDA/ARS	GCA_003046055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/046/055/GCF_003046055.1_ASM304605v1		
GCF_003046135.1	PRJNA224116	SAMN08801720	PZQO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=E81		latest	Contig	Major	Full	2018/04/09	ASM304613v1	NCAUR-USDA/ARS	GCA_003046135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/046/135/GCF_003046135.1_ASM304613v1		
GCF_003053005.1	PRJNA224116	SAMN05942019	QAZN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=DS12_10		latest	Contig	Major	Full	2018/04/17	ASM305300v1	USFDA	GCA_003053005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/053/005/GCF_003053005.1_ASM305300v1		
GCF_003061685.1	PRJNA224116	SAMN05942021	QAHC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=DS14_10		latest	Contig	Major	Full	2018/04/14	ASM306168v1	USFDA	GCA_003061685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/061/685/GCF_003061685.1_ASM306168v1		
GCF_003061745.1	PRJNA224116	SAMN05942020	QAHD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=DS13_10		latest	Contig	Major	Full	2018/04/14	ASM306174v1	USFDA	GCA_003061745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/061/745/GCF_003061745.1_ASM306174v1		
GCF_003064585.1	PRJNA224116	SAMN06464108	QAZL00000000.1	na	1598	1598	Lactobacillus reuteri	strain=DS22_10		latest	Contig	Major	Full	2018/04/23	ASM306458v1	USFDA	GCA_003064585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/064/585/GCF_003064585.1_ASM306458v1		
GCF_003065345.1	PRJNA224116	SAMN05942022	QAZM00000000.1	na	1598	1598	Lactobacillus reuteri	strain=DS17_10		latest	Contig	Major	Full	2018/04/23	ASM306534v1	USFDA	GCA_003065345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/065/345/GCF_003065345.1_ASM306534v1		
GCF_003072625.1	PRJNA224116	SAMN08382659		na	1598	1598	Lactobacillus reuteri	strain=WHH1689		latest	Complete Genome	Major	Full	2018/04/26	ASM307262v1	Hangzhou Wahaha Group Co., LTD.	GCA_003072625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/072/625/GCF_003072625.1_ASM307262v1		
GCF_003174815.1	PRJNA224116	SAMN08934322	QGHP00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR18		latest	Scaffold	Major	Full	2018/05/29	ASM317481v1	Key laboratory of dairy biotechnology and engineering	GCA_003174815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/815/GCF_003174815.1_ASM317481v1		
GCF_003174855.1	PRJNA224116	SAMN08934317	QGHU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR4		latest	Scaffold	Major	Full	2018/05/29	ASM317485v1	Key laboratory of dairy biotechnology and engineering	GCA_003174855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/855/GCF_003174855.1_ASM317485v1		
GCF_003174865.1	PRJNA224116	SAMN08934316	QGHV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR9		latest	Scaffold	Major	Full	2018/05/29	ASM317486v1	Key laboratory of dairy biotechnology and engineering	GCA_003174865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/865/GCF_003174865.1_ASM317486v1		
GCF_003174875.1	PRJNA224116	SAMN08934315	QGHW00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR8		latest	Scaffold	Major	Full	2018/05/29	ASM317487v1	Key laboratory of dairy biotechnology and engineering	GCA_003174875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/875/GCF_003174875.1_ASM317487v1		
GCF_003174915.1	PRJNA224116	SAMN08934321	QGHQ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR17		latest	Scaffold	Major	Full	2018/05/29	ASM317491v1	Key laboratory of dairy biotechnology and engineering	GCA_003174915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/915/GCF_003174915.1_ASM317491v1		
GCF_003174935.1	PRJNA224116	SAMN08934310	QGIB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR3		latest	Scaffold	Major	Full	2018/05/29	ASM317493v1	Key laboratory of dairy biotechnology and engineering	GCA_003174935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/935/GCF_003174935.1_ASM317493v1		
GCF_003174945.1	PRJNA224116	SAMN08934320	QGHR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR13		latest	Scaffold	Major	Full	2018/05/29	ASM317494v1	Key laboratory of dairy biotechnology and engineering	GCA_003174945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/945/GCF_003174945.1_ASM317494v1		
GCF_003174955.1	PRJNA224116	SAMN08934312	QGHZ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR14		latest	Scaffold	Major	Full	2018/05/29	ASM317495v1	Key laboratory of dairy biotechnology and engineering	GCA_003174955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/955/GCF_003174955.1_ASM317495v1		
GCF_003174995.1	PRJNA224116	SAMN08934311	QGIA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR11		latest	Scaffold	Major	Full	2018/05/29	ASM317499v1	Key laboratory of dairy biotechnology and engineering	GCA_003174995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/174/995/GCF_003174995.1_ASM317499v1		
GCF_003175015.1	PRJNA224116	SAMN08934309	QGIC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR2		latest	Scaffold	Major	Full	2018/05/29	ASM317501v1	Key laboratory of dairy biotechnology and engineering	GCA_003175015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/015/GCF_003175015.1_ASM317501v1		
GCF_003175025.1	PRJNA224116	SAMN08934323	QGHO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR19		latest	Scaffold	Major	Full	2018/05/29	ASM317502v1	Key laboratory of dairy biotechnology and engineering	GCA_003175025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/025/GCF_003175025.1_ASM317502v1		
GCF_003175035.1	PRJNA224116	SAMN08934319	QGHS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR12		latest	Scaffold	Major	Full	2018/05/29	ASM317503v1	Key laboratory of dairy biotechnology and engineering	GCA_003175035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/035/GCF_003175035.1_ASM317503v1		
GCF_003175075.1	PRJNA224116	SAMN08934318	QGHT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR10		latest	Scaffold	Major	Full	2018/05/29	ASM317507v1	Key laboratory of dairy biotechnology and engineering	GCA_003175075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/075/GCF_003175075.1_ASM317507v1		
GCF_003175085.1	PRJNA224116	SAMN08934314	QGHX00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR7		latest	Scaffold	Major	Full	2018/05/29	ASM317508v1	Key laboratory of dairy biotechnology and engineering	GCA_003175085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/085/GCF_003175085.1_ASM317508v1		
GCF_003175115.1	PRJNA224116	SAMN08934313	QGHY00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR6		latest	Scaffold	Major	Full	2018/05/29	ASM317511v1	Key laboratory of dairy biotechnology and engineering	GCA_003175115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/115/GCF_003175115.1_ASM317511v1		
GCF_003175125.1	PRJNA224116	SAMN08934308	QGID00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR1		latest	Scaffold	Major	Full	2018/05/29	ASM317512v1	Key laboratory of dairy biotechnology and engineering	GCA_003175125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/175/125/GCF_003175125.1_ASM317512v1		
GCF_003316895.1	PRJNA224116	SAMN08225762		na	1598	1598	Lactobacillus reuteri	strain=Byun-re-01		latest	Complete Genome	Major	Full	2018/07/13	ASM331689v1	Sungkyunkwan University	GCA_003316895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/895/GCF_003316895.1_ASM331689v1		
GCF_003316935.1	PRJNA224116	SAMN09270376		na	1598	1598	Lactobacillus reuteri	strain=SKKU-OGDONS-01		latest	Complete Genome	Major	Full	2018/07/13	ASM331693v1	Sungkyunkwan University	GCA_003316935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/935/GCF_003316935.1_ASM331693v1		
GCF_003413665.1	PRJNA224116	SAMN09748305	QRDF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR CGMCC No.11154		latest	Contig	Major	Full	2018/08/22	ASM341366v1	Guangdong academy of agricultural sciences	GCA_003413665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/413/665/GCF_003413665.1_ASM341366v1		
GCF_003703875.1	PRJNA224116	SAMN08565493	PTLS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=R2lc		latest	Contig	Major	Full	2018/11/27	ASM370387v1	University of Wisconsin-Madison	GCA_003703875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/875/GCF_003703875.1_ASM370387v1		
GCF_003703885.1	PRJNA224116	SAMN08615538	PUXG00000000.1	na	1598	1598	Lactobacillus reuteri	strain=2010		latest	Contig	Major	Full	2018/10/31	ASM370388v1	University of Wisconsin-Madison	GCA_003703885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/885/GCF_003703885.1_ASM370388v1		
GCF_003719715.1	PRJNA224116	SAMN10246080	RIAU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=UBLRU-87		latest	Scaffold	Major	Full	2018/11/10	ASM371971v1	Unique Biotech Limited	GCA_003719715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/715/GCF_003719715.1_ASM371971v1		
GCF_003790365.1	PRJNA224116	SAMN10397676	RJWE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PNW1		latest	Scaffold	Major	Full	2018/11/18	ASM379036v1	North-west University	GCA_003790365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/790/365/GCF_003790365.1_ASM379036v1		
GCF_004208615.1	PRJNA224116	SAMN10888479		na	1598	1598	Lactobacillus reuteri	strain=ATG-F4		latest	Complete Genome	Major	Full	2019/02/17	ASM420861v1	AtoGen Co., Ltd.	GCA_004208615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/208/615/GCF_004208615.1_ASM420861v1		
GCF_004349655.1	PRJNA224116	SAMN10689995	SATN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=C93		latest	Scaffold	Major	Full	2019/03/14	ASM434965v1	Yale University School of Medicine	GCA_004349655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/349/655/GCF_004349655.1_ASM434965v1		
GCF_004349685.1	PRJNA224116	SAMN10689994	SATM00000000.1	na	1598	1598	Lactobacillus reuteri	strain=C88		latest	Scaffold	Major	Full	2019/03/14	ASM434968v1	Yale University School of Medicine	GCA_004349685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/349/685/GCF_004349685.1_ASM434968v1		
GCF_004684995.1	PRJNA224116	SAMN11294217	SRKR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=I8-5		latest	Scaffold	Major	Full	2019/04/07	ASM468499v1	UCSF	GCA_004684995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/684/995/GCF_004684995.1_ASM468499v1		
GCF_004793875.1	PRJNA224116	SAMN10878293	SRYH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=NM11_1-41		latest	Contig	Major	Full	2019/04/14	ASM479387v1	University of Toronto	GCA_004793875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/793/875/GCF_004793875.1_ASM479387v1		
GCF_004794115.1	PRJNA224116	SAMN10878294	SRYI00000000.1	na	1598	1598	Lactobacillus reuteri	strain=NM12_1-47		latest	Contig	Major	Full	2019/04/14	ASM479411v1	University of Toronto	GCA_004794115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/794/115/GCF_004794115.1_ASM479411v1		
GCF_006874665.1	PRJNA224116	SAMN09453118		na	1598	1598	Lactobacillus reuteri	strain=YSJL-12		latest	Complete Genome	Major	Full	2019/07/11	ASM687466v1	Northeast Agricultral University	GCA_006874665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/665/GCF_006874665.1_ASM687466v1		
GCF_007280535.1	PRJNA224116	SAMN12284778	VKOD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=BIO5454		latest	Scaffold	Major	Full	2019/07/22	ASM728053v1	Bioprox	GCA_007280535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/280/535/GCF_007280535.1_ASM728053v1		
GCF_007633215.1	PRJNA224116	SAMN12280509		na	1598	1598	Lactobacillus reuteri	strain=LL7		latest	Complete Genome	Major	Full	2019/07/30	ASM763321v1	University of California Irvine	GCA_007633215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/633/215/GCF_007633215.1_ASM763321v1		
GCF_009184725.1	PRJNA224116	SAMN12990932		na	1598	1598	Lactobacillus reuteri	strain=reuteri		latest	Complete Genome	Major	Full	2019/10/20	ASM918472v1	Guangxi University	GCA_009184725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/184/725/GCF_009184725.1_ASM918472v1		
GCF_009389005.1	PRJNA224116	SAMN09280129	QKPQ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_F8		latest	Scaffold	Major	Full	2019/10/29	ASM938900v1	ETH Zurich	GCA_009389005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/005/GCF_009389005.1_ASM938900v1		
GCF_009389015.1	PRJNA224116	SAMN09280125	QKPU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_F1		latest	Scaffold	Major	Full	2019/10/29	ASM938901v1	ETH Zurich	GCA_009389015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/015/GCF_009389015.1_ASM938901v1		
GCF_009389025.1	PRJNA224116	SAMN09280128	QKPR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_F6		latest	Scaffold	Major	Full	2019/10/29	ASM938902v1	ETH Zurich	GCA_009389025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/025/GCF_009389025.1_ASM938902v1		
GCF_009389035.1	PRJNA224116	SAMN09280126	QKPT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_F2		latest	Scaffold	Major	Full	2019/10/29	ASM938903v1	ETH Zurich	GCA_009389035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/035/GCF_009389035.1_ASM938903v1		
GCF_009389105.1	PRJNA224116	SAMN09280124	QKPV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_C7		latest	Scaffold	Major	Full	2019/10/29	ASM938910v1	ETH Zurich	GCA_009389105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/105/GCF_009389105.1_ASM938910v1		
GCF_009389115.1	PRJNA224116	SAMN09280123	QKPW00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA6_C2		latest	Scaffold	Major	Full	2019/10/29	ASM938911v1	ETH Zurich	GCA_009389115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/115/GCF_009389115.1_ASM938911v1		
GCF_009389155.1	PRJNA224116	SAMN09280120	QKPZ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_C5		latest	Scaffold	Major	Full	2019/10/29	ASM938915v1	ETH Zurich	GCA_009389155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/155/GCF_009389155.1_ASM938915v1		
GCF_009389165.1	PRJNA224116	SAMN09280122	QKPX00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_C13		latest	Scaffold	Major	Full	2019/10/29	ASM938916v1	ETH Zurich	GCA_009389165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/165/GCF_009389165.1_ASM938916v1		
GCF_009389205.1	PRJNA224116	SAMN09280119	QKQA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_C4		latest	Scaffold	Major	Full	2019/10/29	ASM938920v1	ETH Zurich	GCA_009389205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/205/GCF_009389205.1_ASM938920v1		
GCF_009389215.1	PRJNA224116	SAMN09280118	QKQB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_F13		latest	Scaffold	Major	Full	2019/10/29	ASM938921v1	ETH Zurich	GCA_009389215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/215/GCF_009389215.1_ASM938921v1		
GCF_009389245.1	PRJNA224116	SAMN09280115	QKQE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_F1		latest	Scaffold	Major	Full	2019/10/29	ASM938924v1	ETH Zurich	GCA_009389245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/245/GCF_009389245.1_ASM938924v1		
GCF_009389255.1	PRJNA224116	SAMN09280117	QKQC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_F11		latest	Scaffold	Major	Full	2019/10/29	ASM938925v1	ETH Zurich	GCA_009389255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/255/GCF_009389255.1_ASM938925v1		
GCF_009389285.1	PRJNA224116	SAMN09280116	QKQD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_F4		latest	Scaffold	Major	Full	2019/10/29	ASM938928v1	ETH Zurich	GCA_009389285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/285/GCF_009389285.1_ASM938928v1		
GCF_009389305.1	PRJNA224116	SAMN09280114	QKQF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA4_C4		latest	Scaffold	Major	Full	2019/10/29	ASM938930v1	ETH Zurich	GCA_009389305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/305/GCF_009389305.1_ASM938930v1		
GCF_009389325.1	PRJNA224116	SAMN09280113	QKQG00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA4_C2		latest	Scaffold	Major	Full	2019/10/29	ASM938932v1	ETH Zurich	GCA_009389325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/325/GCF_009389325.1_ASM938932v1		
GCF_009389335.1	PRJNA224116	SAMN09280112	QKQH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA4_C1		latest	Scaffold	Major	Full	2019/10/29	ASM938933v1	ETH Zurich	GCA_009389335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/335/GCF_009389335.1_ASM938933v1		
GCF_009389365.1	PRJNA224116	SAMN09280110	QKQJ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA1_F3		latest	Scaffold	Major	Full	2019/10/29	ASM938936v1	ETH Zurich	GCA_009389365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/365/GCF_009389365.1_ASM938936v1		
GCF_009389375.1	PRJNA224116	SAMN09280111	QKQI00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA2_C2		latest	Scaffold	Major	Full	2019/10/29	ASM938937v1	ETH Zurich	GCA_009389375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/375/GCF_009389375.1_ASM938937v1		
GCF_009389385.1	PRJNA224116	SAMN09280109	QKQK00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA1_C4		latest	Scaffold	Major	Full	2019/10/29	ASM938938v1	ETH Zurich	GCA_009389385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/385/GCF_009389385.1_ASM938938v1		
GCF_009389425.1	PRJNA224116	SAMN09280107	QKQM00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA1_C1		latest	Scaffold	Major	Full	2019/10/29	ASM938942v1	ETH Zurich	GCA_009389425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/425/GCF_009389425.1_ASM938942v1		
GCF_009389435.1	PRJNA224116	SAMN09280108	QKQL00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA1_C3		latest	Scaffold	Major	Full	2019/10/29	ASM938943v1	ETH Zurich	GCA_009389435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/435/GCF_009389435.1_ASM938943v1		
GCF_009389465.1	PRJNA224116	SAMN09280106	QKQN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA8_1		latest	Scaffold	Major	Full	2019/10/29	ASM938946v1	ETH Zurich	GCA_009389465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/465/GCF_009389465.1_ASM938946v1		
GCF_009389475.1	PRJNA224116	SAMN09280105	QKQO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=PTA5_11		latest	Scaffold	Major	Full	2019/10/29	ASM938947v1	ETH Zurich	GCA_009389475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/389/475/GCF_009389475.1_ASM938947v1		
GCF_009649095.1	PRJNA224116	SAMN13186406	WJNE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=Rat19		latest	Contig	Major	Full	2019/11/11	ASM964909v1	University of Wisconsin - Madison	GCA_009649095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/095/GCF_009649095.1_ASM964909v1		
GCF_009649105.1	PRJNA224116	SAMN13186396	WJMU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=100-93		latest	Contig	Major	Full	2019/11/11	ASM964910v1	University of Wisconsin - Madison	GCA_009649105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/105/GCF_009649105.1_ASM964910v1		
GCF_009649445.1	PRJNA224116	SAMN13186400	WJMY00000000.1	na	1598	1598	Lactobacillus reuteri	strain=L1600-1		latest	Contig	Major	Full	2019/11/11	ASM964944v1	University of Wisconsin - Madison	GCA_009649445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/445/GCF_009649445.1_ASM964944v1		
