# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364196	364267	-							HMPREF0536_RS07680	72		old_locus_tag=HMPREF0536_t10084
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364196	364267	-				tRNA-Gly			HMPREF0536_RS07680	72		anticodon=GCC
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364358	364440	-							HMPREF0536_RS07685	83		old_locus_tag=HMPREF0536_t10085
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364358	364440	-				tRNA-Leu			HMPREF0536_RS07685	83		anticodon=TAG
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364448	364520	-							HMPREF0536_RS07690	73		old_locus_tag=HMPREF0536_t10086
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364448	364520	-				tRNA-Val			HMPREF0536_RS07690	73		anticodon=TAC
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364586	365227	-							HMPREF0536_RS07695	642		old_locus_tag=HMPREF0536_11483
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	364586	365227	-	WP_003668798.1	WP_003668798.1		deoxynucleoside kinase			HMPREF0536_RS07695	642	213	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	365487	365945	+							HMPREF0536_RS07700	459		old_locus_tag=HMPREF0536_11484
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	365487	365945	+	WP_003664118.1	WP_003664118.1		IS200/IS605 family transposase			HMPREF0536_RS07700	459	152	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	366096	367571	-							HMPREF0536_RS07705	1476		old_locus_tag=HMPREF0536_11485
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	366096	367571	-	WP_003668799.1	WP_003668799.1		amino acid permease			HMPREF0536_RS07705	1476	491	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	367911	368366	-							HMPREF0536_RS07710	456		old_locus_tag=HMPREF0536_11486
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	367911	368366	-	WP_003668802.1	WP_003668802.1		N-acetyltransferase			HMPREF0536_RS07710	456	151	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	368437	369111	-							HMPREF0536_RS07715	675		old_locus_tag=HMPREF0536_11487
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	368437	369111	-	WP_003668803.1	WP_003668803.1		phosphatase PAP2 family protein			HMPREF0536_RS07715	675	224	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	369167	369640	-							HMPREF0536_RS07720	474		old_locus_tag=HMPREF0536_11488
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	369167	369640	-	WP_003668805.1	WP_003668805.1		threonine/serine exporter			HMPREF0536_RS07720	474	157	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	369652	370407	-							HMPREF0536_RS07725	756		old_locus_tag=HMPREF0536_11489
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	369652	370407	-	WP_003668806.1	WP_003668806.1		threonine/serine exporter			HMPREF0536_RS07725	756	251	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	370516	370716	-							HMPREF0536_RS07730	201		old_locus_tag=HMPREF0536_11490
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	370516	370716	-	WP_003664604.1	WP_003664604.1		cold-shock protein			HMPREF0536_RS07730	201	66	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	370863	371537	-							HMPREF0536_RS07735	675		old_locus_tag=HMPREF0536_11491
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	370863	371537	-	WP_003668809.1	WP_003668809.1		metal-dependent transcriptional regulator			HMPREF0536_RS07735	675	224	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	371720	372640	+							HMPREF0536_RS07740	921		old_locus_tag=HMPREF0536_11492
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	371720	372640	+	WP_003668810.1	WP_003668810.1		cation transporter			HMPREF0536_RS07740	921	306	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	372706	373398	-							HMPREF0536_RS07745	693		old_locus_tag=HMPREF0536_11493
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	372706	373398	-	WP_003668812.1	WP_003668812.1		VIT family protein			HMPREF0536_RS07745	693	230	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	373413	374096	-							HMPREF0536_RS07750	684		old_locus_tag=HMPREF0536_11494
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	373413	374096	-	WP_003668814.1	WP_003668814.1		VIT family protein			HMPREF0536_RS07750	684	227	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	374268	374744	-							HMPREF0536_RS07755	477		old_locus_tag=HMPREF0536_11495
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	374268	374744	-	WP_003668816.1	WP_003668816.1		universal stress protein			HMPREF0536_RS07755	477	158	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	375022	375762	+							HMPREF0536_RS07760	741		old_locus_tag=HMPREF0536_11496
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	375022	375762	+	WP_003668818.1	WP_003668818.1		amino acid ABC transporter ATP-binding protein			HMPREF0536_RS07760	741	246	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	375775	376605	+							HMPREF0536_RS07765	831		old_locus_tag=HMPREF0536_11497
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	375775	376605	+	WP_003668820.1	WP_003668820.1		glutamine ABC transporter substrate-binding protein			HMPREF0536_RS07765	831	276	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	376605	377243	+							HMPREF0536_RS07770	639		old_locus_tag=HMPREF0536_11498
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	376605	377243	+	WP_003668822.1	WP_003668822.1		amino acid ABC transporter permease			HMPREF0536_RS07770	639	212	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	377256	377909	+							HMPREF0536_RS07775	654		old_locus_tag=HMPREF0536_11499
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	377256	377909	+	WP_003664620.1	WP_003664620.1		amino acid ABC transporter permease			HMPREF0536_RS07775	654	217	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	378022	379209	-							HMPREF0536_RS07780	1188		old_locus_tag=HMPREF0536_11500
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	378022	379209	-	WP_003668824.1	WP_003668824.1		CPBP family intramembrane metalloprotease			HMPREF0536_RS07780	1188	395	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	379357	381213	-							HMPREF0536_RS07785	1857		old_locus_tag=HMPREF0536_11501
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	379357	381213	-	WP_011953539.1	WP_011953539.1		RNase J family beta-CASP ribonuclease			HMPREF0536_RS07785	1857	618	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	381488	381835	-							HMPREF0536_RS07790	348		old_locus_tag=HMPREF0536_11502
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	381488	381835	-	WP_003668828.1	WP_003668828.1		hypothetical protein			HMPREF0536_RS07790	348	115	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	381914	382360	-							HMPREF0536_RS07795	447		old_locus_tag=HMPREF0536_11503
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	381914	382360	-	WP_003668831.1	WP_003668831.1		MerR family transcriptional regulator			HMPREF0536_RS07795	447	148	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	382493	384001	+							HMPREF0536_RS07800	1509		old_locus_tag=HMPREF0536_11504
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	382493	384001	+	WP_003668833.1	WP_003668833.1		MFS transporter			HMPREF0536_RS07800	1509	502	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384001	384729	+							HMPREF0536_RS07805	729		old_locus_tag=HMPREF0536_11505
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384001	384729	+	WP_003668834.1	WP_003668834.1		DUF4811 domain-containing protein			HMPREF0536_RS07805	729	242	
gene	pseudogene	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384786	384980	+							HMPREF0536_RS10915	195		pseudo
CDS	without_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384786	384980	+				hypothetical protein			HMPREF0536_RS10915	195		pseudo
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384940	385812	-							HMPREF0536_RS07810	873		old_locus_tag=HMPREF0536_11506
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	384940	385812	-	WP_011953540.1	WP_011953540.1		RluA family pseudouridine synthase			HMPREF0536_RS07810	873	290	
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	385890	385964	-							HMPREF0536_RS07815	75		old_locus_tag=HMPREF0536_t10087
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	385890	385964	-				tRNA-Asp			HMPREF0536_RS07815	75		anticodon=GTC
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	386119	388704	+							HMPREF0536_RS07820	2586		old_locus_tag=HMPREF0536_11507
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	386119	388704	+	WP_011953541.1	WP_011953541.1		bifunctional lysylphosphatidylglycerol flippase/synthetase MprF			HMPREF0536_RS07820	2586	861	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	388763	389335	-							HMPREF0536_RS07825	573		old_locus_tag=HMPREF0536_11508
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	388763	389335	-	WP_003668839.1	WP_003668839.1		DJ-1 family protein			HMPREF0536_RS07825	573	190	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	389348	390331	-							HMPREF0536_RS07830	984		old_locus_tag=HMPREF0536_11509
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	389348	390331	-	WP_003668841.1	WP_003668841.1		alpha/beta hydrolase			HMPREF0536_RS07830	984	327	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	390380	391939	-							HMPREF0536_RS07835	1560		old_locus_tag=HMPREF0536_11510
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	390380	391939	-	WP_003668843.1	WP_003668843.1		MFS transporter			HMPREF0536_RS07835	1560	519	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	392016	392669	-							HMPREF0536_RS07840	654		old_locus_tag=HMPREF0536_11511
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	392016	392669	-	WP_003668845.1	WP_003668845.1		uracil-DNA glycosylase			HMPREF0536_RS07840	654	217	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	392682	394049	-							HMPREF0536_RS07845	1368		old_locus_tag=HMPREF0536_11512
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	392682	394049	-	WP_003668849.1	WP_003668849.1		membrane protein			HMPREF0536_RS07845	1368	455	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	394105	394992	-							HMPREF0536_RS07850	888		old_locus_tag=HMPREF0536_11513
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	394105	394992	-	WP_003668851.1	WP_003668851.1		LysR family transcriptional regulator			HMPREF0536_RS07850	888	295	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	395158	396579	-							HMPREF0536_RS07855	1422		old_locus_tag=HMPREF0536_11514
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	395158	396579	-	WP_003668853.1	WP_003668853.1		anion permease			HMPREF0536_RS07855	1422	473	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	396652	398046	-							HMPREF0536_RS07860	1395		old_locus_tag=HMPREF0536_11515
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	396652	398046	-	WP_003668855.1	WP_003668855.1		flavocytochrome c			HMPREF0536_RS07860	1395	464	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	398165	399553	-							HMPREF0536_RS07865	1389		old_locus_tag=HMPREF0536_11516
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	398165	399553	-	WP_003668857.1	WP_003668857.1		class II fumarate hydratase			HMPREF0536_RS07865	1389	462	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	399848	401476	-							HMPREF0536_RS07870	1629		old_locus_tag=HMPREF0536_11517
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	399848	401476	-	WP_003668858.1	WP_003668858.1		NAD-dependent malic enzyme			HMPREF0536_RS07870	1629	542	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	401613	402494	+							HMPREF0536_RS07875	882		old_locus_tag=HMPREF0536_11518
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	401613	402494	+	WP_003668859.1	WP_003668859.1		LysR family transcriptional regulator			HMPREF0536_RS07875	882	293	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	402694	403287	-							HMPREF0536_RS07880	594		old_locus_tag=HMPREF0536_11519
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	402694	403287	-	WP_003668860.1	WP_003668860.1		peptidylprolyl isomerase			HMPREF0536_RS07880	594	197	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	403361	404407	-							HMPREF0536_RS07885	1047		old_locus_tag=HMPREF0536_11520
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	403361	404407	-	WP_003668861.1	WP_003668861.1		zinc-binding alcohol dehydrogenase family protein			HMPREF0536_RS07885	1047	348	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	404458	405996	-							HMPREF0536_RS07890	1539		old_locus_tag=HMPREF0536_11521
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	404458	405996	-	WP_011953542.1	WP_011953542.1		hypothetical protein			HMPREF0536_RS07890	1539	512	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	406140	407537	+							HMPREF0536_RS07895	1398		old_locus_tag=HMPREF0536_11522
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	406140	407537	+	WP_003668864.1	WP_003668864.1		DUF2252 domain-containing protein			HMPREF0536_RS07895	1398	465	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	407601	407801	-							HMPREF0536_RS10760	201		old_locus_tag=HMPREF0536_11523
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	407601	407801	-	WP_048569015.1	WP_048569015.1		hypothetical protein			HMPREF0536_RS10760	201	66	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	407919	408956	+							HMPREF0536_RS07900	1038		old_locus_tag=HMPREF0536_11524
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	407919	408956	+	WP_003668868.1	WP_003668868.1		galactose mutarotase			HMPREF0536_RS07900	1038	345	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	409035	409475	-							HMPREF0536_RS07905	441		old_locus_tag=HMPREF0536_11525
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	409035	409475	-	WP_003668870.1	WP_003668870.1		hypothetical protein			HMPREF0536_RS07905	441	146	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	409653	410897	-							HMPREF0536_RS07910	1245		old_locus_tag=HMPREF0536_11526
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	409653	410897	-	WP_003668872.1	WP_003668872.1		D-alanyl-D-alanine carboxypeptidase			HMPREF0536_RS07910	1245	414	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	411091	411888	+							HMPREF0536_RS07915	798		old_locus_tag=HMPREF0536_11527
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	411091	411888	+	WP_003668874.1	WP_003668874.1		penicillin-binding protein			HMPREF0536_RS07915	798	265	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	412041	413498	-							HMPREF0536_RS07920	1458		old_locus_tag=HMPREF0536_11528
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	412041	413498	-	WP_003668877.1	WP_003668877.1		sucrose phosphorylase			HMPREF0536_RS07920	1458	485	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	413525	414742	-							HMPREF0536_RS07925	1218		old_locus_tag=HMPREF0536_11529
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	413525	414742	-	WP_003668879.1	WP_003668879.1		MFS transporter			HMPREF0536_RS07925	1218	405	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	415039	416373	-							HMPREF0536_RS07930	1335		old_locus_tag=HMPREF0536_11530
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	415039	416373	-	WP_003668880.1	WP_003668880.1		hypothetical protein			HMPREF0536_RS07930	1335	444	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	416386	417903	-							HMPREF0536_RS07935	1518		old_locus_tag=HMPREF0536_11531
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	416386	417903	-	WP_003668882.1	WP_003668882.1		YfcC family protein			HMPREF0536_RS07935	1518	505	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	418038	418982	+							HMPREF0536_RS07940	945		old_locus_tag=HMPREF0536_11532
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	418038	418982	+	WP_011953543.1	WP_011953543.1		peroxidase			HMPREF0536_RS07940	945	314	
gene	pseudogene	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	419246	420714	+							HMPREF0536_RS07945	1469		pseudo
CDS	without_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	419246	420714	+				ABC-F type ribosomal protection protein			HMPREF0536_RS07945	1469		pseudo
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	420941	421657	-							HMPREF0536_RS07950	717		old_locus_tag=HMPREF0536_11535
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	420941	421657	-	WP_003668890.1	WP_003668890.1		alpha/beta hydrolase			HMPREF0536_RS07950	717	238	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	421836	422558	+							HMPREF0536_RS07955	723		
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	421836	422558	+	WP_003668892.1	WP_003668892.1		putative sulfate exporter family transporter			HMPREF0536_RS07955	723	240	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	422616	422864	+							HMPREF0536_RS10920	249		old_locus_tag=HMPREF0536_11537
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	422616	422864	+	WP_080502977.1	WP_080502977.1		putative sulfate exporter family transporter			HMPREF0536_RS10920	249	82	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	422948	423487	-							HMPREF0536_RS07960	540		old_locus_tag=HMPREF0536_11538
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	422948	423487	-	WP_003668895.1	WP_003668895.1		flavodoxin family protein			HMPREF0536_RS07960	540	179	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	423682	424596	-							HMPREF0536_RS07965	915		old_locus_tag=HMPREF0536_11539
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	423682	424596	-	WP_003668897.1	WP_003668897.1		cysteine synthase family protein			HMPREF0536_RS07965	915	304	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	425046	425978	+							HMPREF0536_RS07970	933		old_locus_tag=HMPREF0536_11540
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	425046	425978	+	WP_003668899.1	WP_003668899.1		ferrochelatase			HMPREF0536_RS07970	933	310	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	425981	427285	+							HMPREF0536_RS07975	1305		old_locus_tag=HMPREF0536_11541
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	425981	427285	+	WP_003668901.1	WP_003668901.1		divalent metal cation transporter			HMPREF0536_RS07975	1305	434	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	427552	428097	-							HMPREF0536_RS07980	546		old_locus_tag=HMPREF0536_11542
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	427552	428097	-	WP_003668903.1	WP_003668903.1		methyltransferase domain-containing protein			HMPREF0536_RS07980	546	181	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	428115	428783	-							HMPREF0536_RS07985	669		old_locus_tag=HMPREF0536_11543
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	428115	428783	-	WP_003664702.1	WP_003664702.1		TrkA family potassium uptake protein			HMPREF0536_RS07985	669	222	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	428776	430119	-							HMPREF0536_RS07990	1344		old_locus_tag=HMPREF0536_11544
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	428776	430119	-	WP_003668905.1	WP_003668905.1		Trk family potassium uptake protein			HMPREF0536_RS07990	1344	447	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	430274	432046	+							HMPREF0536_RS07995	1773		old_locus_tag=HMPREF0536_11545
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	430274	432046	+	WP_003668907.1	WP_003668907.1		oleate hydratase			HMPREF0536_RS07995	1773	590	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	432124	432885	+							HMPREF0536_RS08000	762		old_locus_tag=HMPREF0536_11546
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	432124	432885	+	WP_003668909.1	WP_003668909.1		NADPH-dependent oxidoreductase			HMPREF0536_RS08000	762	253	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	432882	434021	-							HMPREF0536_RS08005	1140		old_locus_tag=HMPREF0536_11547
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	432882	434021	-	WP_003668911.1	WP_003668911.1		beta-glucanase			HMPREF0536_RS08005	1140	379	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	434036	435343	-							HMPREF0536_RS08010	1308		old_locus_tag=HMPREF0536_11548
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	434036	435343	-	WP_003668913.1	WP_003668913.1		glycosyltransferase family 2 protein			HMPREF0536_RS08010	1308	435	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	435486	436349	-							HMPREF0536_RS08015	864		old_locus_tag=HMPREF0536_11550
